Data;Hora;Temperatura
14/03/2018;12;23.6
14/03/2018;18;21.4
15/03/2018;0;19.6
15/03/2018;12;22.3
15/03/2018;18;28.3
16/03/2018;0;19.6
16/03/2018;12;19
16/03/2018;18;28.1
17/03/2018;0;21.3
17/03/2018;12;21.3
17/03/2018;18;27.6
18/03/2018;0;21.9
18/03/2018;12;21.9
18/03/2018;18;30.2
19/03/2018;0;22.9
19/03/2018;12;24.6
19/03/2018;18;27
20/03/2018;0;24.6
20/03/2018;12;20.4
20/03/2018;18;27.4
21/03/2018;0;20.2
21/03/2018;12;19.4
21/03/2018;18;20.5
22/03/2018;0;18.1
22/03/2018;12;17
22/03/2018;18;20.4
23/03/2018;0;18.2
23/03/2018;12;19.7
23/03/2018;18;27
24/03/2018;0;20.8
24/03/2018;12;21.6
24/03/2018;18;29
25/03/2018;0;22.7
25/03/2018;12;23.4
25/03/2018;18;21.3
26/03/2018;0;20.2
26/03/2018;12;16.6
26/03/2018;18;18
27/03/2018;0;16.5
27/03/2018;12;18.1
27/03/2018;18;22.5
28/03/2018;0;20.2
28/03/2018;12;19.6
28/03/2018;18;27.1
29/03/2018;0;19.9
29/03/2018;12;19.9
29/03/2018;18;24.3
30/03/2018;0;19.5
30/03/2018;12;19.9
30/03/2018;18;26.8
31/03/2018;0;19.9
31/03/2018;12;18.8
31/03/2018;18;23.3
01/04/2018;0;20.8
01/04/2018;12;21.5
01/04/2018;18;24.7
02/04/2018;0;21.9
02/04/2018;12;20.4
02/04/2018;18;25
03/04/2018;0;21.5
03/04/2018;12;18.7
03/04/2018;18;26.6
04/04/2018;0;18.7
04/04/2018;12;20
04/04/2018;18;26.2
05/04/2018;0;19.1
05/04/2018;12;19.5
05/04/2018;18;26.9
06/04/2018;0;18.4
06/04/2018;12;17.8
06/04/2018;18;24.8
07/04/2018;0;18.5
07/04/2018;12;18.8
07/04/2018;18;24.9
08/04/2018;0;19.2
08/04/2018;12;18.7
08/04/2018;18;26
09/04/2018;0;19.2
09/04/2018;12;16.7
09/04/2018;18;27.2
10/04/2018;0;19.2
10/04/2018;12;17.8
10/04/2018;18;26.9
11/04/2018;0;20
11/04/2018;12;19.5
11/04/2018;18;25
12/04/2018;0;18.4
12/04/2018;12;17.7
12/04/2018;18;27.4
13/04/2018;0;21.4
13/04/2018;12;17.7
13/04/2018;18;29.3
14/04/2018;0;20
14/04/2018;12;17.4
14/04/2018;18;18.6
15/04/2018;0;15.9
15/04/2018;12;16.1
15/04/2018;18;20.1
16/04/2018;0;15.1
16/04/2018;12;15.5
16/04/2018;18;17.5
17/04/2018;0;14.8
17/04/2018;12;15.6
17/04/2018;18;17.8
18/04/2018;0;16
18/04/2018;12;15.8
18/04/2018;18;24.8
19/04/2018;0;17
19/04/2018;12;16.6
19/04/2018;18;25
20/04/2018;0;18.8
20/04/2018;12;16.3
20/04/2018;18;26.5
21/04/2018;0;18.9
21/04/2018;12;18
21/04/2018;18;26.6
22/04/2018;0;18.6
22/04/2018;12;17.9
22/04/2018;18;25.6
23/04/2018;0;17.2
23/04/2018;12;17.3
23/04/2018;18;25.9
24/04/2018;0;18.5
24/04/2018;12;16
24/04/2018;18;26.9
25/04/2018;0;18.2
25/04/2018;12;15.4
25/04/2018;18;25.9
26/04/2018;0;19.2
26/04/2018;12;19.6
26/04/2018;18;26.6
27/04/2018;0;19.5
27/04/2018;12;19
27/04/2018;18;26.3
28/04/2018;0;19.6
28/04/2018;12;19.7
28/04/2018;18;27.9
29/04/2018;0;20.1
29/04/2018;12;18.1
29/04/2018;18;26.9
30/04/2018;0;20.5
30/04/2018;12;16.7
30/04/2018;18;27.1
01/05/2018;0;22.8
01/05/2018;12;19.9
01/05/2018;18;27.2
02/05/2018;0;20
02/05/2018;12;20.4
02/05/2018;18;23
03/05/2018;0;19.1
03/05/2018;12;18.6
03/05/2018;18;25.9
04/05/2018;0;21.3
04/05/2018;12;21.8
04/05/2018;18;27.6
05/05/2018;0;20.2
05/05/2018;12;17.6
05/05/2018;18;26.8
06/05/2018;0;19.8
06/05/2018;12;18.2
06/05/2018;18;24.9
07/05/2018;0;17.8
07/05/2018;12;18.4
07/05/2018;18;18.3
08/05/2018;0;16.2
08/05/2018;12;16
09/05/2018;0;16.8
09/05/2018;12;15.9
10/05/2018;0;16
10/05/2018;12;13.8
11/05/2018;0;19.6
11/05/2018;12;16.4
12/05/2018;0;21.2
12/05/2018;12;15.6
13/05/2018;0;15.6
14/05/2018;12;16.2
15/05/2018;0;15.7
15/05/2018;12;15.2
16/05/2018;0;19.8
16/05/2018;12;15.8
17/05/2018;0;16.6
17/05/2018;12;15.5
18/05/2018;0;16.2
18/05/2018;12;17
19/05/2018;0;20.2
19/05/2018;12;14.8
20/05/2018;0;11
21/05/2018;12;7.6
22/05/2018;0;11.5
22/05/2018;12;9
23/05/2018;0;13
23/05/2018;12;12.4
24/05/2018;0;13.6
24/05/2018;12;12.8
25/05/2018;0;13.9
25/05/2018;12;14
26/05/2018;0;13.8
26/05/2018;12;14.2
27/05/2018;0;14.2
28/05/2018;12;12.7
29/05/2018;0;14.4
29/05/2018;12;12
30/05/2018;0;14.3
30/05/2018;12;12.3
31/05/2018;0;16
31/05/2018;12;12.3
01/06/2018;0;15.6
02/08/2018;12;11.4
03/08/2018;0;12.4
03/08/2018;12;13.2
04/08/2018;0;14.9
04/08/2018;12;12.4
05/08/2018;0;15.2
06/08/2018;12;12.1
07/08/2018;0;11
07/08/2018;12;9.8
08/08/2018;0;12.1
08/08/2018;12;11.2
09/08/2018;0;15.9
09/08/2018;12;15.8
10/08/2018;0;10.6
10/08/2018;12;6.7
11/08/2018;0;11.9
11/08/2018;12;7.6
12/08/2018;0;12.6
13/08/2018;12;10.9
14/08/2018;0;12.7
14/08/2018;12;10
15/08/2018;0;17.3
15/08/2018;12;11.6
16/08/2018;0;11.9
16/08/2018;12;10.4
17/08/2018;0;11.6
17/08/2018;12;11.7
18/08/2018;0;11.7
18/08/2018;12;12.5
19/08/2018;0;14.1
20/08/2018;12;14.7
21/08/2018;0;15.1
21/08/2018;12;13.6
22/08/2018;0;13.1
22/08/2018;12;12.8
23/08/2018;0;16.7
23/08/2018;12;15.4
24/08/2018;0;18.4
24/08/2018;12;17.1
25/08/2018;0;15
25/08/2018;12;12.2
26/08/2018;0;11.8
27/08/2018;12;6.7
28/08/2018;0;9.7
28/08/2018;12;11.6
